,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
168,CC=COC(=CC=O)N=C(O)OC(CCC)OC=CO,-6.585,-6.618,-5.842,-6.155,-4.225,-5.376,-6.142,-5.059,-5.661,-5.133
169,CCCOC(=O)OC(C=CO)=C(OCC)C(=O)OC=O,-6.343,-6.361,-5.921,-6.099,-4.404,-5.707,-5.843,-5.857,-5.939,-5.365
170,CCN=C(C)N=S,-3.903,-4.275,-3.932,-3.894,-3.752,-4.012,-3.852,-4.055,-3.841,-3.639
171,CCCOC(OC(=O)OC)OC(=O)C(C)(O)COCC,-6.546,-6.423,-6.2,-5.821,-3.588,-5.579,-5.994,-5.817,-5.855,-5.688
172,CC1OC(=CC=O)CC2(C=C=[SH]C(=O)[SH]=C(O)CO2)O1,-4.984,-4.265,-5.558,-4.411,1.416,-3.95,-5.834,-2.535,-5.695,-5.104
173,Cc1ccccc(C=O)c2occnc-2c1OC(=O)O,-7.157,-5.278,-7.332,-5.238,-4.711,-1.896,-7.836,-3.178,-7.35,-7.674
174,CC=C(O)OC(CC(=O)COCCC)=NC=C(O)OC,-6.591,-6.536,-6.132,-6.151,-4.285,-6.021,-6.047,-5.664,-5.893,-5.727
175,CCC(O)=C(O)N(CCOCCOC)OC(C)(O)CO,-5.824,-6.293,-5.69,-6.349,-3.546,-5.164,-5.304,-5.042,-5.608,-5.656
176,C=C(O)OC(C)=CCO,-5.317,-4.882,-4.785,-4.602,-4.343,-4.773,-4.643,-4.571,-4.651,-4.41
177,CC=C[SH](C)COC(C)=O,-4.72,-5.287,-4.882,-4.92,-3.966,-4.624,-4.764,-4.562,-4.702,-4.498
178,CCCCOC(=O)CC,-4.89,-5.044,-4.91,-4.814,-4.786,-4.943,-4.704,-4.611,-4.722,-4.457
179,CCCCC(=O)OC(O)(OCCC(O)CO)OC(C)=O,-6.358,-6.848,-6.029,-6.217,-5.156,-5.133,-5.763,-5.646,-5.71,-5.558
180,O=COC(COC(=O)C(O)O)OC(=O)OCCC=CO,-5.483,-7.321,-5.858,-5.965,-4.694,-5.671,-5.805,-6.061,-5.425,-5.831
181,CC(C)NC(C)C=O,-4.732,-4.861,-4.486,-4.834,-4.404,-4.735,-4.378,-4.147,-4.184,-4.213
182,C=C(O)C(COC(O)(OCC=O)C(C)C)OCSC=O,-5.961,-7.162,-6.196,-5.595,-3.432,-5.37,-6.105,-4.256,-6.109,-5.816
183,C=C(O)OC(=O)C(O)=C(O)C(N)OC(=O)CCC(=O)O,-6.815,-7.533,-6.464,-6.328,-5.097,-6.18,-6.317,-6.081,-6.359,-6.45
184,C1=C2OC34OC5=S67=C8C9=C%10OC58[C+]([C+]=C36)C(=C24)C%10=C9C=17,,,,,,,,,,
185,COCC(N)C(COC(=O)CO)C(COCO)=C(O)O,-5.707,-6.3,-5.702,-5.658,-3.655,-5.126,-5.722,-5.799,-5.511,-5.472
186,CCC=CCCC(=O)O,-5.062,-5.745,-4.834,-4.796,-4.924,-5.107,-4.731,-4.611,-4.863,-4.882
187,CC(=COC(=O)OC(C)OC(C)C=C(O)OO)C(=O)O,-7.015,-7.352,-6.177,-6.056,-4.071,-6.053,-6.256,-6.001,-6.011,-6.392
188,COC(=O)COC=C(OC(=O)OC)SCCCOCO,-5.652,-6.708,-5.603,-5.462,-3.154,-4.726,-5.954,-5.401,-5.392,-5.055
189,CSCOC=O,-3.439,-3.577,-3.205,-3.608,-3.218,-3.47,-3.252,-3.294,-3.299,-3.107
190,CCC(C)(O)C(C)(C)O,-5.28,-5.093,-5.123,-5.108,-4.104,-5.414,-4.512,-5.09,-4.837,-4.77
191,CCOCCCCC(=O)C(O)OCC,-5.873,-6.157,-5.495,-5.545,-4.526,-4.997,-5.044,-5.566,-5.361,-5.307
192,COC=CC=COC(C(=O)O)=C(S)C(=O)OC(=O)OC,-6.135,-6.472,-6.181,-5.892,-4.115,-5.546,-5.901,-5.367,-5.621,-5.339
193,O=CSC=S,-3.056,-3.338,-3.04,-2.937,-2.917,-3.03,-2.873,-2.93,-2.993,-2.777
194,CCCOC(O)OC(=CCOC(=O)OC)OC(O)CO,-6.1,-6.452,-5.823,-5.882,-4.198,-5.581,-5.893,-5.692,-5.555,-5.525
195,O=CCCOC(=O)C(=O)C=C(O)OC(=O)OCCCO,-6.465,-7.083,-6.261,-5.907,-4.443,-5.488,-5.841,-5.862,-5.783,-5.171
196,O=C(OO)OSCS,-4.229,-4.623,-3.795,-4.217,-3.847,-3.88,-3.847,-3.918,-4.109,-3.925
197,CSC(=O)C(=O)O,-4.158,-4.616,-3.694,-4.068,-3.69,-3.998,-3.864,-4.237,-4.206,-4.028
198,CCCOC(OC(C)C)C(CC(=O)O)OC(=O)OOC,-6.24,-6.34,-6.245,-6.064,-4.232,-5.616,-6.016,-5.778,-6.003,-5.836
199,C=C(C=C(OC(O)CO)C(=CC(=O)OC)OCO)OC,-6.071,-6.378,-5.944,-5.726,-3.964,-5.689,-6.155,-5.496,-5.433,-5.582
200,O=CCOC(OC=CSCC=O)OCCCCC(=O)O,-5.764,-6.63,-6.013,-5.586,,-5.207,-5.37,-4.919,-5.422,-5.373
201,O=C1OO[C-]2[SH+]3C45C6=NC7=C4C(=O)S63(=[SH+]25)C(=O)C(=O)N17,,,,,,,,,,
202,O=CC=CCC(=O)O,-4.72,-5.267,-4.419,-4.474,-4.232,-4.66,-4.255,-4.605,-4.58,-4.197
203,CCCCOC(=O)OC,-4.742,-4.85,-4.23,-4.629,-4.222,-4.563,-4.397,-4.29,-4.617,-4.534
204,C=C(C)SOC(=CC)CC,-4.666,-5.267,-4.809,-4.765,-4.373,-5.169,-4.31,-4.628,-4.552,-4.715
205,CSS(C)=CC=O,-3.792,-3.678,-3.71,-3.744,-2.828,-3.492,-3.456,-3.493,-3.458,-3.315
206,CCCOC(=O)OC(=CC(O)(C=O)OC(=O)O)OCC,-6.132,-6.79,-6.198,-6.337,-3.811,-5.922,-6.292,-6.126,-5.947,-5.667
207,CCCOCC(=O)O,-4.556,-5.005,-4.25,-4.191,-4.16,-4.416,-4.045,-4.328,-4.276,-4.315
208,CCOC(C)OC(C)O,-4.858,-5.082,-4.794,-4.511,-4.404,-4.748,-4.211,-4.619,-4.675,-4.414
209,CCCOC=[SH]C,-3.536,-3.807,-3.658,-3.609,-3.323,-3.637,-3.488,-3.648,-3.596,-3.569
210,CC(=O)OC(=O)C=CC(C)=C(O)OCCCCCCO,-6.663,-7.469,-6.844,-6.302,-4.31,,-5.884,-5.575,-5.829,-5.987
211,CSCC(C)=O,-3.605,-3.799,-3.682,-3.455,-3.362,-3.645,-3.283,-3.509,-3.512,-3.472
212,CSC(COC=CC(=O)OCC(=O)C=O)=C(C=O)CO,-6.042,-6.911,-6.256,-5.563,-3.761,-5.549,-5.6,-4.72,-5.844,-5.439
213,O=C(OC=CO)C(OCCC=CCO)OCCCCO,,-6.683,-5.743,-6.17,-4.519,-5.221,-5.102,-5.489,-5.488,-5.479
214,O=C1OC=C2C3=C4C5=[SH-]=C3C(=O)C(=O)C(=C24)C(=[SH]1)C5=O,,,,,,,,,,
215,C=CC(=NCOSC)OC,-4.692,-5.116,-4.356,-4.543,-4.226,-4.473,-4.423,-4.518,-4.43,-4.059
216,OCCC(O)OCO,-4.653,-4.725,-3.988,-4.167,-4.146,-4.0,-3.66,-3.907,-4.09,-3.806
217,CCOC(=O)C(=O)OCC(CO)=C(C)OC(C)(O)OC,-6.6,-6.881,-6.207,-6.116,-4.661,-5.534,-5.999,-5.539,-5.695,-5.642
218,CCCOC(=O)COC=O,-4.851,-5.118,-4.623,-5.195,-4.427,-4.673,-4.393,-4.72,-4.522,-4.329
219,CCC(=O)OC=CO,-4.732,-4.939,-4.338,-4.509,-4.412,-4.493,-4.029,-4.33,-4.394,-4.01
220,C=[SH]1=C2OC(=O)C1=C(OC(C)=O)C(=O)C=C(C=O)C=[SH]2,-3.92,-2.787,-5.63,-3.342,-0.665,-1.184,-5.686,-3.325,-4.715,-5.193
221,C=CC(OC=O)C(OC)C(C)(OC)C(COC)C(=O)O,-5.896,-5.5,-5.639,-4.929,-3.306,-4.642,-6.243,-4.992,-5.799,-5.898
222,CCCOOCSNCSC,-4.882,-4.984,-4.359,-4.505,-3.519,-4.172,-4.315,-4.804,-4.144,-4.134
223,CCCOC(C(=C=O)C(C)=O)N(CC)C(=O)C(=O)OC,-6.992,-6.376,-6.308,-5.982,-3.851,-5.304,-6.331,-5.421,-5.878,-6.15
224,CCCCCOC(=O)C(=CC(=O)OC=CC=O)CCO,-6.218,-6.918,-6.469,-6.398,-4.843,-5.359,-6.162,-5.58,-6.06,-5.733
225,CCOC(C)OC(C)=O,-4.875,-4.997,-4.81,-4.784,-4.519,-4.709,-4.248,-4.608,-4.537,-4.41
226,CCCOC(=O)C(OC(C)OCCC)C(=O)OCOC,-6.181,-6.474,-6.115,-6.096,-3.586,-5.63,-5.942,-5.592,-5.727,-5.834
227,CSCSC(=O)O,-3.854,-4.212,-3.638,-3.805,-3.489,-3.761,-3.68,-3.782,-3.896,-3.63
228,CCCSCOCOC(C)=O,-5.036,-5.566,-4.972,-4.962,-4.205,-4.723,-4.576,-4.871,-4.686,-4.274
229,C=C(S)COC(=O)C(OCCC(=O)O)OC(=O)CC=O,-6.249,-6.866,-6.21,-6.225,-4.637,-6.004,-5.87,-5.659,-6.114,-5.464
230,COC(=O)CC(O)=C(C)C,-5.342,-5.808,-4.86,-5.195,-4.733,-5.58,-4.747,-4.947,-5.035,-5.122
231,C=CCOC(=O)ON(C=O)SC(C)=C(C)C(=O)OC=C,-6.533,-7.197,-6.435,-6.697,-3.911,-5.042,-6.003,-5.931,-6.232,-5.866
232,C=C(C)COC(=O)OCCC,-5.441,-5.579,-4.921,-5.222,-4.997,-4.99,-4.921,-5.072,-5.288,-4.785
233,C=C=C=C1OC(=C)[SH]=C(C)C(=O)C(=C)ON=C1OC=O,-5.491,-4.915,-5.8,-3.454,-1.11,-3.438,-5.722,-4.059,-5.344,-5.182
234,CCC=C(COCC)OC(=O)C(C)C,-5.841,-6.375,-5.643,-5.853,-4.618,-5.374,-5.472,-5.537,-5.438,-5.411
235,COC1=CC=C2C=C=C(O1)C(CC=O)=CCOC2(C)C,-3.93,-3.885,-5.096,-3.483,-2.139,-2.236,-4.75,-2.764,-4.502,-4.737
236,COCC=C(C=CC(C)=C(C)O)OC(=O)OC(=O)C=O,-6.83,-7.486,-6.623,-6.789,-4.336,-5.532,-6.097,-5.673,-5.857,-6.157
237,CCOC(=O)OCCCOC(O)OCC(O)COCO,-6.021,-6.478,-5.554,-5.47,,-4.812,-5.308,-4.892,-5.478,-5.035
238,C=CCCC(=NC=C(C)[S-])OC(=O)CC(C)=CCCC,-7.025,-6.864,-6.827,-5.931,-4.615,-5.735,-6.031,-5.38,-6.113,-6.07
239,O=C=C(O)C(=CC=[SH]C=CCCO)OC(=O)OOCO,-5.884,-6.788,-5.642,-5.45,-4.066,-5.321,-5.259,-5.417,-5.637,-5.148
240,CCCCCC(=O)OC(=O)O,-5.643,-5.969,-5.052,-5.401,-5.226,-5.19,-4.892,-5.217,-5.158,-5.314
241,CCCCC(=O)OC=O,-5.085,-5.3,-4.736,-5.039,-4.67,-4.876,-4.443,-4.408,-4.523,-4.509
242,O=C(O)O,-3.274,-3.279,-2.793,-2.892,-2.923,-3.227,-3.019,-3.083,-3.059,-2.962
243,CCCOC(=O)OCOCC,-5.019,-5.275,-4.661,-5.17,-4.359,-4.865,-4.604,-4.958,-4.988,-4.47
244,CC=CC=COC(=O)OC(C)(C)OOCC,-6.221,-6.656,-6.126,-5.86,-5.234,-5.696,-5.559,-5.76,-5.655,-5.417
245,COCCOCCOC(=O)CCOC(O)=CC(=O)OC,-5.864,-6.922,-5.609,-5.443,,,-5.404,-4.787,-5.938,-4.93
246,C=CC(=N)OCC(=O)O,-5.226,-5.054,-4.485,-4.826,-4.623,-5.042,-4.59,-4.883,-4.895,-4.786
247,CCC(=CO)Oc1ooc1C(O)(OCCO)OC(=O)O,-6.817,-7.112,-6.219,-6.04,-4.671,-5.694,-6.283,-5.962,-6.229,-5.6
248,C=COC(=CC(C=O)OC(C)=O)CCCOC(=O)C=O,-6.381,-6.926,-6.505,-5.894,-3.978,-5.623,-6.045,-5.474,-5.804,-5.667
249,COC(=O)O,-3.418,-3.775,-3.135,-3.28,-3.389,-3.356,-3.256,-3.552,-3.465,-3.317
250,O=CN=CSC=O,-3.968,-4.102,-3.577,-3.971,-3.473,-3.929,-3.704,-3.897,-3.693,-3.487
251,CC=CC=CC=COCCCCOC(=O)OCCCC,-6.242,-6.658,,-5.506,,,,-5.523,,-5.497
252,CC=CCOC(C)=O,-4.554,-4.988,-4.568,-4.483,-4.499,-4.713,-4.26,-4.16,-4.555,-4.347
253,CCCOC(=O)OC,-4.343,-4.675,-4.144,-4.318,-4.009,-4.334,-4.121,-4.128,-4.355,-4.201
254,CSS(=O)SC(=O)[SH](=O)=O,-5.068,-5.152,-4.659,-4.925,-3.859,-4.539,-4.647,-4.824,-4.558,-4.395
255,COCC(C)OCC(=C=O)OCCCSCCCCO,-5.877,-6.601,-5.784,-5.325,,-4.805,-5.059,-4.355,-5.116,-5.452
256,CCCOCOC(O)C(C)C(O)C(O)(O)OCOCO,-6.137,-6.68,-5.683,-5.999,-5.203,-5.249,-5.956,-5.663,-5.61,-5.784
257,CCCC(=NC(O)=C(OC)OC=O)OC=COC1=CO1,-6.699,-7.043,-5.957,-5.94,-4.543,-5.161,-5.882,-5.948,-5.747,-5.534
258,CCN=C(CC)OCC,-4.425,-4.943,-4.31,-4.378,-4.484,-4.533,-4.086,-4.482,-4.351,-4.143
259,COC(S)[SH]=CC=CS,-3.774,-4.209,-3.588,-3.881,-3.316,-3.422,-3.523,-3.438,-3.717,-3.789
260,C=C(C)OC(=O)OC=S,-4.57,-4.877,-4.245,-4.715,-4.686,-4.522,-4.393,-4.267,-4.545,-4.276
261,C=COC(=CC)OC(CCC)OC(C=O)C=COCC,-6.204,-6.856,-6.333,-5.817,-3.618,-5.616,-5.842,-5.188,-5.703,-5.547
262,CC(O)=CC(O)=C=O,-4.986,-5.011,-4.305,-4.443,-4.677,-4.653,-4.024,-4.446,-4.447,-4.241
263,C=NC=NCSSO,-3.899,-4.223,-3.486,-4.033,-3.524,-3.596,-4.028,-3.711,-3.681,-3.279
264,C=S1C=C1SC(=[SH]C=CC=C(O)O)C(C)OC(=O)CC,-6.436,-5.959,-6.387,-5.455,-3.444,-4.225,-6.327,-4.916,-5.955,-5.912
265,C=CC=CC(N=C(N=C)C(=O)OCC(=C)O)=[SH]N=C=O,-6.557,-6.695,-6.465,-5.841,-3.584,-5.666,-5.922,-5.443,-5.872,-5.483
266,CCCCOC(=O)NOC(=O)C(=O)C(=CC(C)=O)OC,-7.18,-7.516,-6.936,-6.822,-3.706,-6.47,-6.637,-5.967,-6.539,-6.111
267,CO[SH]=CC(=O)O,-4.084,-4.061,-3.712,-4.006,-3.822,-3.829,-3.59,-3.833,-4.075,-3.888
