,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
215,C=C(C)SC(C)CCCC,-5.077,-5.309,-4.842,-4.87,-4.166,-4.705,-4.653,-4.779,-4.829,-4.87
216,C=CC(CC)(CO)CCO,-5.418,-5.223,-5.057,-5.056,-4.931,-5.163,-4.647,-4.996,-4.965,-4.804
217,C=CC(C)=C[SH]=CC=CC,-4.86,-5.32,-4.692,-4.878,-4.867,-4.724,-4.29,-4.31,-4.596,-4.367
218,C=COC(=O)C(C)CC(=C)C,-5.447,-5.988,-5.44,-5.439,-4.917,-5.503,-4.989,-5.003,-5.327,-5.19
219,CCC(=O)CC=C(C)C,-5.163,-5.471,-5.143,-5.059,-4.834,-5.414,-4.809,-4.866,-4.702,-4.86
220,CCCCC=COCCO,-5.121,-5.308,-4.7,-4.671,-4.707,-4.499,-4.472,-4.504,-4.624,-4.582
221,CCCOC(O)(CC)CC,-5.041,-5.164,-5.05,-5.087,-4.75,-5.079,-4.552,-4.951,-5.154,-4.983
222,CCCC(C)(C)C(Cl)CC(C)C(C)=O,-6.655,-6.432,-6.834,-6.01,-5.145,-5.829,-5.941,-5.268,-5.998,-6.287
223,CC(C)(CS)C(C=O)C1CO1,-5.233,-4.922,-4.694,-4.566,-3.784,-4.609,-4.731,-4.654,-4.856,-4.811
224,CCC(CC)[C+](C)C(C)C1=CC=C1C,-6.768,-6.12,-6.986,-6.497,-5.084,-5.478,-6.238,-5.093,-6.171,-6.446
225,CCC(=C(C)C)C(O)C=CC=O,-5.682,-5.91,-5.623,-5.833,-5.669,-5.406,-5.353,-5.42,-5.684,-5.377
226,C=CC=C(CCC)CC(C)=O,-5.526,-5.498,-5.624,-5.591,-5.342,-5.501,-5.143,-4.987,-5.117,-5.268
227,C=C1N=C(SC)OCC1CC,-5.454,-5.389,-5.401,-5.59,-4.885,-5.243,-5.079,-4.901,-5.299,-5.406
228,CCCC1CCCCC(COC)C1,-4.706,-4.714,-4.611,-4.771,-3.405,-3.607,-4.097,-4.022,-4.357,-4.076
229,CC=C(C)C=C1C=CC(CCC)C(=O)C1,-7.679,-7.826,-7.372,-6.951,-6.221,-5.799,-7.063,-5.662,-6.56,-6.681
230,CCCCC(N)N(C)C(C)C,-5.442,-5.762,-4.927,-5.367,-4.727,-5.036,-4.822,-5.012,-5.467,-5.388
231,C=C1CCCC(=C)C1OCCC,-6.223,-6.217,-6.181,-6.145,-4.792,-5.464,-5.734,-5.618,-5.926,-6.097
232,CC(C)=S,-2.882,-2.974,-2.573,-2.796,-3.053,-2.944,-2.565,-2.554,-2.651,-2.544
233,CC=CC1=C(CCO)C=C1,-5.56,-5.883,-5.699,-5.513,-5.495,-5.52,-5.344,-4.887,-5.214,-5.469
234,CC(O)C(C)C=CC=CS,-5.012,-5.437,-4.895,-4.602,-4.645,-4.664,-4.56,-4.488,-4.634,-4.839
235,CC=C(CCC)C(C)=COC,-5.427,-5.423,-5.456,-5.462,-4.937,-5.344,-4.949,-4.968,-4.895,-5.083
236,C=C(C)C(C)(CCC=CC=O)CCCCC,-6.305,-6.491,-6.546,-6.34,-4.329,-6.176,-5.785,-5.289,-5.922,-6.398
237,CC=CC(C)=C(C)OCC,-5.183,-5.335,-5.101,-5.079,-5.286,-5.138,-4.557,-4.791,-4.968,-4.955
238,CCCCCC(C)C(CC)OC,-5.342,-5.939,-5.631,-5.245,-4.67,-5.032,-4.971,-4.812,-5.258,-5.47
239,CCCCCC(=O)CC,-5.076,-5.35,-5.083,-4.758,-4.858,-5.016,-4.333,-4.522,-4.562,-4.538
240,C=CCCCC(S)=C(C)C(C)C,-5.805,-5.833,-5.624,-5.541,-4.423,-5.448,-4.888,-5.099,-5.129,-5.377
241,CCC(C=CC=CC(C)CC(=O)O)=C(C)C,-7.059,-7.261,-6.749,-6.303,-5.035,-6.002,-6.163,-5.494,-6.123,-6.645
242,C=C=C(C=COC)C1CCC1,,-5.813,,,-4.97,,,,-5.074,-5.234
243,C=C(C)C(C=COC(C)CC)CC,-5.873,-6.412,-5.935,-5.891,-5.609,-5.756,-5.67,-4.952,-5.508,-5.639
244,C=C(C)C=CC1(N=CC)CN(C)C1,-5.905,-5.597,-5.724,-6.012,-4.49,-5.259,-5.311,-5.206,-5.241,-5.464
245,C=C(C)SCCCC,-4.3,-4.649,-4.174,-4.281,-4.194,-4.458,-3.978,-4.004,-4.235,-4.108
246,C=NC=CC(=C)C,-4.505,-4.371,-4.159,-4.138,-4.223,-4.417,-3.808,-3.849,-3.991,-4.131
247,C=CC=CC(=CC(C)=CC=C(C)C)O[Na],,,,,,,,,,
248,C=CC1=CC(C)=CC(C)=CC1=C,-4.78,-5.148,-4.777,-4.479,-3.546,-4.489,-4.562,-3.706,-4.568,-4.655
249,C=CC=C(OCC=CC)OCCC=CC,-5.785,-6.304,-5.582,-5.437,-5.28,-5.692,-5.184,-5.392,-5.359,-5.329
250,CCCCC=CCC(C)=C(C=O)OC,-5.852,-6.511,-5.679,-5.785,-5.262,-5.431,-5.405,-5.329,-5.568,-5.601
251,C=C(OCC=O)C1=CC(N)=CC1,-5.837,-6.342,-5.988,-5.881,-5.482,-5.569,-5.558,-5.259,-5.372,-5.878
252,CC=C(C)C(C1=CC=C1)C(C)C(C=O)C(C)CC,-7.542,-5.489,-7.532,-6.646,-4.567,-5.684,-6.963,-5.567,-6.742,-7.204
253,C=C(O)CC(C=CC=CC)=CC,-5.892,-6.077,-5.884,-5.378,-5.576,-5.67,-5.287,-5.271,-5.639,-5.542
254,CC=CN(C(=CN)C(C)S)C(C)C,-5.245,-4.294,-5.066,-5.025,-3.921,-4.194,-5.134,-4.396,-4.85,-5.003
255,CC=CC(O)=CCC=O,-5.037,-5.124,-4.79,-4.85,-4.916,-5.038,-4.586,-4.876,-4.97,-4.524
256,C=COC(C)C(C)C,-4.639,-4.92,-4.465,-4.537,-4.614,-4.979,-4.167,-4.185,-4.368,-4.259
257,CCC(C=CC(C)=C(C)O)=CC(C)=CO,-6.683,-6.795,-6.475,-6.122,-5.723,-6.15,-5.801,-5.658,-6.112,-6.044
258,CCOC1=C(OSC)N=C(C)CC1,-5.38,-5.883,-5.806,-5.786,-4.249,-5.413,-5.48,-4.701,-5.365,-5.435
259,C=CC(=C)CCOC,-4.56,-4.79,-4.445,-4.509,-4.556,-4.818,-4.192,-3.988,-4.162,-4.368
260,C=NC(O)CC=CC=C(C)N,-5.427,-5.944,-5.122,-5.336,-4.97,-5.127,-4.931,-5.001,-5.123,-5.098
261,C=C(C=O)C=CC(C=CC)=CC=CC,-6.232,-6.39,-6.304,-6.154,-5.743,-5.506,-5.448,-5.426,-5.657,-5.589
262,CC=C(C=CC=C(CCC)OS)C(C)O,-6.193,-5.982,-6.206,-5.781,-4.814,-5.87,-5.215,-5.258,-5.481,-5.758
263,CC(C)C(C)C(C)OCC=O,-5.451,-5.752,-5.559,-5.984,-4.533,-5.42,-5.0,-4.871,-5.03,-5.291
