,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
336,CCCOC(=O)C(C)CCOC(C)CC,-5.937,-6.418,-5.879,-5.721,-4.743,-5.481,-5.868,-5.62,-5.649,-5.645
337,CCCCCC(C)OC=O,-5.204,-5.417,-5.139,-5.127,-4.877,-4.947,-4.65,-4.519,-4.666,-4.744
338,COC(C)CCCOC(=CN)CCCCCC1CC1C,-6.743,-7.191,-6.715,-6.552,-3.749,-5.493,-6.241,-5.1,-5.781,-5.97
339,O=C1CCOC2=CCC(CO1)OC2=O,-5.347,-4.537,-5.085,-4.663,-3.094,-3.859,-5.273,-5.372,-5.256,-5.001
340,COC(O)(O)OC(C)C,-4.844,-4.96,-4.653,-4.736,-4.436,-4.759,-4.432,-4.891,-4.843,-4.733
341,CC=CC=CC=O,-4.424,-4.74,-4.252,-4.081,-4.343,-4.441,-3.937,-4.006,-4.193,-4.104
342,CC1=NC2=CCC1(O)OC(=C(C)CO)O2,-7.297,-6.317,-7.129,-6.361,-5.084,-6.503,-7.199,-6.007,-6.856,-6.394
343,CCC(C)CC=NO,-5.026,-5.336,-4.686,-4.686,-4.63,-4.793,-4.408,-4.496,-4.61,-4.802
344,C=CC(C)(O)C(CO)OC=O,-5.833,-5.156,-5.057,-5.249,-4.428,-5.195,-4.711,-5.117,-5.36,-4.879
345,CCCCC(O)OC(=O)CC,-5.664,-5.842,-5.308,-5.441,-4.81,-4.948,-5.261,-5.229,-5.474,-5.409
346,CCOC(CC)C(C)C,-4.677,-4.875,-4.912,-4.852,-5.081,-5.038,-4.198,-4.512,-4.448,-4.56
347,CCC(C)(O)CC(C)C,-5.279,-5.285,-5.324,-5.135,-4.571,-5.225,-4.613,-4.706,-5.105,-4.942
348,COC(=O)OC1=C2CCCCCC=C2C(C)=C1,-5.685,-5.584,-6.225,-5.525,-3.289,-3.797,-5.386,-4.096,-5.463,-5.515
349,CC1(OCCCO)OCCC(O)C=C(O)OO1,-4.111,-5.35,-4.445,-4.82,-2.975,-3.787,-4.425,-5.125,-4.835,-4.432
