,SMILES,OR1L3,OR2G2,OR2J2,OR2M4,OR2T10,OR2T34,OR5AC2,OR10G3,OR10G4,OR10G7
390,CCC=C(CS)C(CS)=C(COC)OC,-5.008,-4.568,-5.464,-4.773,-3.2,-4.14,-4.714,-4.13,-4.818,-4.794
391,C=CC=CC(C)C=CCC,-5.277,-5.616,-5.125,-4.984,-5.09,-4.902,-4.924,-4.557,-4.907,-5.101
392,CC=CC(CC)CC,-4.859,-4.76,-4.589,-4.624,-4.894,-4.925,-4.452,-4.284,-4.266,-4.533
393,C=C(C)CCCNC=CC(C)=O,-5.509,-5.955,-5.729,-5.359,-5.053,-5.604,-5.211,-4.847,-5.305,-5.17
394,CCC(C)(O)S(C)(O)C=O,-5.364,-5.084,-4.82,-5.163,-4.163,-5.341,-4.793,-5.202,-4.902,-4.673
395,CCCC(=O)C(C)=C(C)C,-5.527,-5.66,-5.234,-5.474,-5.72,-6.012,-4.843,-5.284,-5.135,-5.012
396,CCCC(C)(C)CC=CC(C)C,-5.949,-6.321,-6.019,-5.573,-5.625,-5.752,-5.206,-4.973,-5.48,-5.481
397,CCCCOC,-3.719,-4.036,-3.616,-3.578,-3.82,-3.843,-3.424,-3.409,-3.561,-3.509
398,CCC=S(CC)COC,-4.391,-4.716,-4.315,-4.464,-4.072,-4.296,-4.135,-3.996,-4.242,-4.226
399,CC=C(C=C(O)CC)C(C)O,-5.795,-5.638,-5.663,-5.607,-5.053,-5.458,-5.097,-5.442,-5.338,-5.355
400,CC=CC(C)=C(C)CC,-5.4,-5.395,-5.129,-5.088,-5.479,-5.525,-4.781,-4.677,-4.734,-4.93
401,CC=C(C)C=C1C=COC(C)=N1,-6.113,-6.628,-6.11,-5.874,-5.291,-5.848,-5.795,-5.636,-5.89,-6.242
402,CCC=CC(C)C=CCCC,-5.222,-5.915,-5.499,-5.18,-5.173,-5.189,-4.659,-4.67,-5.034,-4.962
403,CC=CC=CC(=O)C(C)CO,-5.581,-5.882,-5.053,-5.366,-5.401,-5.576,-4.856,-5.049,-5.097,-5.249
404,CC(=O)C1(C)CC1C,-5.224,-5.256,-5.302,-4.954,-5.154,-5.274,-4.38,-4.775,-4.957,-4.694
405,CCCC1=C(CCOC)C1,-5.295,-5.472,-5.27,-5.299,-4.963,-4.97,-5.007,-4.598,-5.109,-5.226
406,CCC1=CC(=CC(C)CC)C=C(C)C1,-7.516,-7.386,-7.284,-7.067,-5.66,-6.411,-6.967,-5.497,-6.718,-6.848
407,CSC(C=O)=CC=O,-4.195,-4.422,-4.117,-4.268,-3.87,-4.252,-3.832,-3.864,-4.092,-3.869
408,C=CCC(=CC)CC=CC,-5.283,-5.218,-5.112,-5.044,-5.307,-5.438,-4.888,-4.708,-4.715,-5.017
409,C=CC=NC(=CC=C)CC,-4.787,-4.995,-4.904,-4.778,-5.051,-5.138,-4.658,-4.507,-4.738,-4.478
410,CC=CCC(C)(C)C(C)=CC1(C)CC=CC(C)C=CC1,-6.051,-5.745,-6.017,-4.971,-2.219,-3.827,-5.522,-2.356,-5.917,-6.086
411,CCC[SH]1CC1C=C(C)C,-5.176,-5.393,-5.258,-4.81,-4.371,-4.35,-4.82,-4.505,-4.865,-4.763
412,CC1=C=C(C)C(C)=C(OC=O)C1,-6.479,-6.438,-6.323,-6.523,-5.537,-5.978,-6.342,-5.391,-5.828,-6.351
413,CCSC(C)C(C)OC(C)=O,-5.148,-5.372,-5.31,-5.305,-4.278,-4.684,-4.721,-4.851,-4.851,-4.937
414,CC=C(O)CC(=CCCC(C)CC)CCC,-6.796,-6.719,-6.729,-6.238,-4.935,-6.18,-5.974,-5.451,-5.991,-6.184
415,C=CC=C(OCC(=C)CCCCC)OC(=O)C=CC,-6.643,-7.048,-6.572,-6.424,-4.595,-6.315,-6.316,-5.444,-6.332,-6.018
416,CC=CC=C(C)C=C(CC)COC,-5.721,-6.253,-5.705,-5.661,-5.201,-5.292,-5.41,-5.084,-5.118,-5.418
